id,name,official_name_ru,city,region,focus_areas,programs,tuition_kzt_min,tuition_kzt_max,languages,admission_requirements,website,details_source_url,registry_source_url,data_status,last_verified
aiu,Astana International University,Международный университет Астана,Астана,Астана,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://aiu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kazutb,Kazakh University of Technology and Business,Казахский университет технологии и бизнеса,Астана,Астана,Technology|Business,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
academy-sport,Academy of Physical Culture and Mass Sports,Академия физической культуры и массового спорта,Астана,Астана,Sport|Physical Education,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
academy-public-admin,Academy of Public Administration under the President of Kazakhstan,Академия государственного управления при Президенте Республики Казахстан,Астана,Астана,Public Administration,unknown,unknown,unknown,unknown,unknown,https://apa.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
nu,Nazarbayev University,Назарбаев Университет,Астана,Астана,IT|Engineering|Natural Sciences|Medicine,Computer Science & Robotics|Biological Sciences & Biomedical Research,7350000,7350000,Английский,SAT|IELTS|Аттестат|Требования программы,https://nu.edu.kz,https://nu.edu.kz/admissions,https://www.gov.kz/article/657,curated_program_data,2026-09-19
kaznu,Al-Farabi Kazakh National University,Казахский национальный университет имени аль-Фараби,Алматы,Алматы,Multidisciplinary|IT|Natural Sciences|Social Sciences,Information Systems & Cybersecurity|Международные отношения|Психология|Прикладная математика,1350000,1500000,Казахский|Русский,ЕНТ|Аттестат|Требования программы,https://www.kaznu.kz,https://welcome.kaznu.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
abai,Abai Kazakh National Pedagogical University,Казахский национальный педагогический университет имени Абая,Алматы,Алматы,Education|Pedagogy,unknown,unknown,unknown,unknown,unknown,https://abaiuniversity.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
satbayev,Satbayev University,Казахский национальный исследовательский технический университет имени К.И. Сатпаева,Алматы,Алматы,Engineering|IT|Mining|Petroleum,Computer Engineering & Robotics|Нефтегазовая инженерия|Мехатроника и робототехника,1600000,1650000,Казахский|Русский,ЕНТ|Аттестат|Требования программы,https://satbayev.university,https://satbayev.university,https://www.gov.kz/article/657,curated_program_data,2026-09-19
qyzpu,Kazakh National Women's Teacher Training University,Казахский национальный женский педагогический университет,Алматы,Алматы,Education|Pedagogy,unknown,unknown,unknown,unknown,unknown,https://qyzpu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kaznaru,Kazakh National Agrarian Research University,Казахский национальный аграрный исследовательский университет,Алматы,Алматы,Agriculture|Natural Sciences,unknown,unknown,unknown,unknown,unknown,https://kaznaru.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kaznmu,Asfendiyarov Kazakh National Medical University,Казахский национальный медицинский университет им. С.Д. Асфендиярова,Алматы,Алматы,Medicine|Health|Pharmacy,Общая медицина|Хирургия|Фармация|Биомедицинские технологии,1650000,1850000,Казахский|Русский,ЕНТ|Аттестат|Требования программы,https://kaznmu.edu.kz,https://kaznmu.edu.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
kurmangazy,Kurmangazy Kazakh National Conservatory,Казахская национальная консерватория имени Курмангазы,Алматы,Алматы,Music|Arts,unknown,unknown,unknown,unknown,unknown,https://conservatoire.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
zhurgenov,T. Zhurgenov Kazakh National Academy of Arts,Казахская национальная академия искусств имени Т.К. Жургенова,Алматы,Алматы,Arts|Design|Media,unknown,unknown,unknown,unknown,unknown,https://kaznai.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
iitu,International Information Technology University,Международный университет информационных технологий,Алматы,Алматы,IT|Information Systems,Information Systems & Enterprise IT,1479000,1479000,Казахский|Русский,ЕНТ|Аттестат|Требования программы,https://iitu.edu.kz,https://iitu.edu.kz/ru/applicants/bachelor,https://www.gov.kz/article/657,curated_program_data,2026-09-19
kimep,KIMEP University,Университет КИМЭП,Алматы,Алматы,Business|Finance|IT,Information Systems in Business & FinTech|Finance|Accounting|Investment Banking,3600000,3800000,Английский,Аттестат|Английский язык|Требования программы,https://kimep.kz,https://kimep.kz/admissions,https://www.gov.kz/article/657,curated_program_data,2026-09-19
kainar,Kainar Academy,Академия Кайнар,Алматы,Алматы,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://kazuniver.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
krmu,Kazakhstan-Russian Medical University,Казахстанско-Российский медицинский университет,Алматы,Алматы,Medicine|Health,unknown,unknown,unknown,unknown,unknown,https://medkrmu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
turan,Turan University,Университет Туран,Алматы,Алматы,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://turan-edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
iec,International Educational Corporation,Международная образовательная корпорация,Алматы,Алматы,Architecture|Civil Engineering|Design,Архитектура|Градостроительное проектирование|Графический дизайн|UI/UX дизайн,1700000,1750000,Казахский|Русский,ЕНТ или творческий экзамен|Аттестат|Требования программы,https://mok.kz,https://kazgasa.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
alt,Academy of Logistics and Transport,Академия логистики и транспорта,Алматы,Алматы,Transport|Logistics|Engineering,unknown,unknown,unknown,unknown,unknown,https://alt.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
narxoz,Narxoz University,Университет Нархоз,Алматы,Алматы,Business|Economics|Finance,unknown,unknown,unknown,unknown,unknown,https://narxoz.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kazast,Kazakh Academy of Sport and Tourism,Казахская академия спорта и туризма,Алматы,Алматы,Sport|Tourism,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
aues,Almaty University of Power Engineering and Telecommunications,Алматинский университет энергетики и связи им. Г. Даукеева,Алматы,Алматы,Engineering|Energy|Telecommunications|IT,unknown,unknown,unknown,unknown,unknown,https://aues.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
atu,Almaty Technological University,Алматинский технологический университет,Алматы,Алматы,Food Technology|Engineering|Design,unknown,unknown,unknown,unknown,unknown,https://atu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
ksph,Kazakhstan Medical University KSPH,Казахстанский медицинский университет ВШОЗ,Алматы,Алматы,Public Health|Medicine,unknown,unknown,unknown,unknown,unknown,https://ksph.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
almau,Almaty Management University,Алматы Менеджмент Университет,Алматы,Алматы,Business|Management|Media,International Management & Entrepreneurship|Digital Journalism|Media Production|PR,1950000,2100000,Казахский|Русский,ЕНТ|Аттестат|Требования программы,https://almau.edu.kz,https://almau.edu.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
etu,Eurasian Technological University,Евразийский технологический университет,Алматы,Алматы,Technology|Engineering,unknown,unknown,unknown,unknown,unknown,https://etu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
civil-aviation,Civil Aviation Academy,Академия гражданской авиации,Алматы,Алматы,Aviation|Engineering,unknown,unknown,unknown,unknown,unknown,https://agakaz.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
ablaikhan,Kazakh Ablai Khan University of International Relations and World Languages,Казахский университет международных отношений и мировых языков им. Абылай хана,Алматы,Алматы,Languages|International Relations|Education,Синхронный и письменный перевод,1400000,1400000,Английский,ЕНТ|Аттестат|Требования программы,https://ablaikhan.kz,https://ablaikhan.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
ageu,Almaty Humanitarian-Economic University,Алматинский гуманитарно-экономический университет,Алматы,Алматы,Humanities|Economics,unknown,unknown,unknown,unknown,unknown,https://ageu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
nur-mubarak,Nur-Mubarak Egyptian University of Islamic Culture,Египетский университет исламской культуры Нур-Мубарак,Алматы,Алматы,Theology|Islamic Studies,unknown,unknown,unknown,unknown,unknown,https://nmu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kazadi,L.B. Goncharov Kazakh Automobile and Road Institute,Казахский автомобильно-дорожный институт имени Л.Б. Гончарова,Алматы,Алматы,Transport|Civil Engineering,unknown,unknown,unknown,unknown,unknown,https://kazadi.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
caspian,Caspian University,Каспийский общественный университет,Алматы,Алматы,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://cu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kbtu,Kazakh-British Technical University,Казахстанско-Британский технический университет,Алматы,Алматы,IT|Engineering|Business|Finance,Software Engineering|Game Development|Economics & Data Analytics,2950000,3200000,Английский,ЕНТ|Аттестат|Английский язык|Требования программы,https://kbtu.edu.kz,https://kbtu.edu.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
dmuk,De Montfort University Kazakhstan,De Montfort University Kazakhstan,Алматы,Алматы,Multidisciplinary,unknown,unknown,unknown,Английский,unknown,https://dmuk.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
metu,International Engineering-Technological University,Международный инженерно-технологический университет,Алматы,Алматы,Engineering|Technology,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kunaev-law,D.A. Kunaev Eurasian Law Academy,Евразийская юридическая академия имени Д.А. Кунаева,Алматы,Алматы,Law,unknown,unknown,unknown,unknown,unknown,https://vuzkunaeva.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kups,Kazakh University of Ways of Communication,Казахский Университет Путей Сообщения,Алматы,Алматы,Transport|Engineering,unknown,unknown,unknown,unknown,unknown,https://kups.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
uib,K. Sagadiyev University of International Business,Университет международного бизнеса им. К. Сагадиева,Алматы,Алматы,Business|Economics|Finance,unknown,unknown,unknown,unknown,unknown,https://uib.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
dku,Kazakh-German University,Казахстанско-Немецкий университет,Алматы,Алматы,Engineering|Business|International Studies,unknown,unknown,unknown,unknown,unknown,https://dku.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
skma,South Kazakhstan Medical Academy,Южно-Казахстанская медицинская академия,Шымкент,Шымкент,Medicine|Health|Pharmacy,unknown,unknown,unknown,unknown,unknown,https://skma.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
okmpu,South Kazakhstan State Pedagogical University,Южно-Казахстанский государственный педагогический университет,Шымкент,Шымкент,Education|Pedagogy,unknown,unknown,unknown,unknown,unknown,https://okmpu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
auezov,Auezov South Kazakhstan University,Южно-Казахстанский университет им. М. Ауэзова,Шымкент,Шымкент,Multidisciplinary|IT|Engineering,Information Technologies & Robotics,1050000,1050000,Казахский|Русский,ЕНТ|Аттестат|Требования программы,https://auezov.edu.kz,https://auezov.edu.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
miras,Miras University,Университет Мирас,Шымкент,Шымкент,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://miras.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
shymkent-university,Shymkent University,Шымкентский университет,Шымкент,Шымкент,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
caiu,Central Asian Innovation University,Центрально-Азиатский инновационный университет,Шымкент,Шымкент,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://caiu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
peoples-friendship,A. Kuatbekov University of Peoples Friendship,Университет дружбы народов имени академика А. Куатбекова,Шымкент,Шымкент,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://udn.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
tashenov,Zhumabek Tashenov University,Университет им. Ж. Ташенева,Шымкент,Шымкент,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://tashenov.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
gta,Humanitarian-Technical Academy,Гуманитарно-техническая академия,Кокшетау,Акмолинская область,Humanities|Technology,unknown,unknown,unknown,unknown,unknown,https://gta.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kuam,A. Myrzakhmetov Kokshetau University,Кокшетауский университет имени А. Мырзахметова,Кокшетау,Акмолинская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
shokan,Shokan Ualikhanov Kokshetau University,Кокшетауский университет им. Ш. Уалиханова,Кокшетау,Акмолинская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://shokan.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
zhubanov,Zhubanov Aktobe Regional University,Актюбинский региональный университет им. К. Жубанова,Актобе,Актюбинская область,Multidisciplinary|IT,Computer Science & Data Engineering,1150000,1150000,Казахский|Русский,ЕНТ|Аттестат|Требования программы,https://zhubanov.edu.kz,https://zhubanov.edu.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
zkmu,Marat Ospanov West Kazakhstan Medical University,Западно-Казахстанский медицинский университет им. М. Оспанова,Актобе,Актюбинская область,Medicine|Health,unknown,unknown,unknown,unknown,unknown,https://zkmu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
baishev,Baishev University,Актюбинский университет им. С. Баишева,Актобе,Актюбинская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://bu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
krmu-aktobe,Kazakh-Russian International University,Казахско-Русский международный университет,Актобе,Актюбинская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
sdu,SDU University,Университет имени Сулеймана Демиреля,Каскелен,Алматинская область,IT|Engineering|Business|Education,Computer Science & Smart Systems,1900000,1900000,Английский,ЕНТ|Аттестат|Требования программы,https://sdu.edu.kz,https://sdu.edu.kz/en/admission-3-2,https://www.gov.kz/article/657,curated_program_data,2026-09-19
atyrau-oil,Atyrau University of Oil and Gas,Атырауский университет нефти и газа им. С. Утебаева,Атырау,Атырауская область,Petroleum|Engineering,unknown,unknown,unknown,unknown,unknown,https://aogu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
atyrau-university,H. Dosmukhamedov Atyrau University,Атырауский университет им. Х. Досмухамедова,Атырау,Атырауская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://asu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
aigi,Atyrau Engineering and Humanities Institute,Атырауский инженерно-гуманитарный институт,Атырау,Атырауская область,Engineering|Humanities,unknown,unknown,unknown,unknown,unknown,https://aigi.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
zhangir-khan,Zhangir Khan West Kazakhstan Agrarian-Technical University,Западно-Казахстанский аграрно-технический университет им. Жангир хана,Уральск,Западно-Казахстанская область,Agriculture|Engineering,unknown,unknown,unknown,unknown,unknown,https://wkau.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
mahmud-utemisov,M. Utemisov West Kazakhstan University,Западно-Казахстанский университет им. М. Утемисова,Уральск,Западно-Казахстанская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://wku.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
wkitu,West Kazakhstan Innovation and Technology University,Западно-Казахстанский инновационно-технологический университет,Уральск,Западно-Казахстанская область,Technology|Engineering,unknown,unknown,unknown,unknown,unknown,https://wkitu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kaziitu,Kazakhstan University of Innovation and Telecommunication Systems,Казахстанский университет инновационных и телекоммуникационных систем,Уральск,Западно-Казахстанская область,IT|Telecommunications,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
dulaty,M.H. Dulaty Taraz Regional University,Таразский региональный университет им. М.Х. Дулати,Тараз,Жамбылская область,Multidisciplinary|Engineering,unknown,unknown,unknown,unknown,unknown,https://dulaty.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
taraz-innovation,International Taraz Innovation University,Международный Таразский инновационный университет,Тараз,Жамбылская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
saginov,Abylkas Saginov Karaganda Technical University,Карагандинский технический университет им. А. Сагинова,Караганда,Карагандинская область,Engineering|Technology|IT,unknown,unknown,unknown,unknown,unknown,https://ktu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kiu,Karaganda Industrial University,Карагандинский индустриальный университет,Темиртау,Карагандинская область,Engineering|Industry,unknown,unknown,unknown,unknown,unknown,https://tttu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
qmu,Karaganda Medical University,Медицинский университет Караганды,Караганда,Карагандинская область,Medicine|Health,unknown,unknown,unknown,unknown,unknown,https://qmu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
buketov,Karaganda Buketov University,Карагандинский университет им. Е.А. Букетова,Караганда,Карагандинская область,Multidisciplinary|IT,Software & Cloud Systems,1100000,1100000,Казахский|Русский,ЕНТ|Аттестат|Требования программы,https://buketov.edu.kz,https://buketov.edu.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
keu,Karaganda University of Kazpotrebsoyuz,Карагандинский экономический университет Казпотребсоюза,Караганда,Карагандинская область,Economics|Business,unknown,unknown,unknown,unknown,unknown,https://keu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
bolashaq-academy,Bolashaq Academy,Академия Bolashaq,Караганда,Карагандинская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://bolashaq.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
cka,Central Kazakhstan Academy,Центрально-Казахстанская академия,Караганда,Карагандинская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
rii,Rudny Industrial Institute,Рудненский индустриальный институт,Рудный,Костанайская область,Engineering|Industry,unknown,unknown,unknown,unknown,unknown,https://rii.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kineu,M. Dulatov Kostanay Engineering and Economics University,Костанайский инженерно-экономический университет им. М. Дулатова,Костанай,Костанайская область,Engineering|Economics,unknown,unknown,unknown,unknown,unknown,https://kineu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
baitursynov,A. Baitursynov Kostanay Regional University,Костанайский региональный университет имени А. Байтурсынова,Костанай,Костанайская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://ksu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
arkalyk,I. Altynsarin Arkalyk Pedagogical Institute,Аркалыкский педагогический институт имени И. Алтынсарина,Аркалык,Костанайская область,Education|Pedagogy,unknown,unknown,unknown,unknown,unknown,https://api.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kstu-aldamzhar,Z. Aldamzhar Kostanay Social-Technical University,Костанайский социально-технический университет имени академика З. Алдамжар,Костанай,Костанайская область,Social Sciences|Technology,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
korkyt,Korkyt Ata Kyzylorda University,Кызылординский университет им. Коркыт Ата,Кызылорда,Кызылординская область,Multidisciplinary|Engineering,unknown,unknown,unknown,unknown,unknown,https://korkyt.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
bolashak-kyzylorda,Bolashak Kyzylorda University,Кызылординский университет Болашак,Кызылорда,Кызылординская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
akmeshit,Kyzylorda Institute of Technology and Service,Кызылординский институт технологии и сервиса,Кызылорда,Кызылординская область,Technology|Service,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
yesenov,Yessenov University,Каспийский университет технологии и инжиниринга им. Ш. Есенова,Актау,Мангистауская область,Engineering|Technology|Petroleum,unknown,unknown,unknown,unknown,unknown,https://yu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
toraygyrov,Toraighyrov University,Торайгыров университет,Павлодар,Павлодарская область,Multidisciplinary|Engineering,unknown,unknown,unknown,unknown,unknown,https://tou.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
pspu,Pavlodar Pedagogical University,Павлодарский педагогический университет,Павлодар,Павлодарская область,Education|Pedagogy,unknown,unknown,unknown,unknown,unknown,https://pspu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
ineu,Innovative University of Eurasia,Инновационный Евразийский университет,Павлодар,Павлодарская область,Multidisciplinary|Technology,unknown,unknown,unknown,unknown,unknown,https://ineu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
eiti,Ekibastuz Engineering and Technical Institute,Екибастузский инженерно-технический институт имени К.И. Сатпаева,Экибастуз,Павлодарская область,Engineering|Technology,unknown,unknown,unknown,unknown,unknown,https://eiti.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kozybayev,Kozybayev North Kazakhstan University,Северо-Казахстанский университет им. М. Козыбаева,Петропавловск,Северо-Казахстанская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://ku.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
ektu,D. Serikbayev East Kazakhstan Technical University,Восточно-Казахстанский технический университет им. Д. Серикбаева,Усть-Каменогорск,Восточно-Казахстанская область,Engineering|Technology|IT,unknown,unknown,unknown,unknown,unknown,https://ektu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
amanjolov,S. Amanzholov East Kazakhstan University,Восточно-Казахстанский университет имени С. Аманжолова,Усть-Каменогорск,Восточно-Казахстанская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://vku.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kafu,Kazakh-American Free University,Казахстанско-Американский свободный университет,Усть-Каменогорск,Восточно-Казахстанская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://kafu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
ayu,Khoja Akhmet Yassawi International Kazakh-Turkish University,Международный Казахско-Турецкий университет им. Х.А. Ясави,Туркестан,Туркестанская область,Multidisciplinary|Medicine,unknown,unknown,unknown,unknown,unknown,https://ayu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
iuth,International University of Tourism and Hospitality,Международный университет туризма и гостеприимства,Туркестан,Туркестанская область,Tourism|Hospitality,unknown,unknown,unknown,unknown,unknown,https://iuth.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
abu,Alikhan Bokeikhan University,Alikhan Bokeikhan University,Семей,Абайская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://abu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
semey-medical,Semey Medical University,Медицинский университет Семей,Семей,Абайская область,Medicine|Health,unknown,unknown,unknown,unknown,unknown,https://smu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
shakarim,Shakarim University,Университет имени Шакарима города Семей,Семей,Абайская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://shakarim.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
zhetysu,I. Zhansugurov Zhetysu University,Жетысуский университет им. И. Жансугурова,Талдыкорган,Жетысуская область,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://zhetysu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
zhezkazgan,O.A. Baikonurov Zhezkazgan University,Жезказганский университет им. О.А. Байконурова,Жезказган,Улытауская область,Multidisciplinary|Engineering,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
